3-gram,frequency
the,0.03299197505365841
and,0.012615428687616793
ing,0.01014716820478224
ion,0.009746530688116845
tio,0.008016322678963456
ent,0.007394440167244617
ati,0.005613601833123559
for,0.005410641904150388
her,0.005205501174042472
ter,0.00490822667494038
hat,0.004573297614405191
tha,0.004502809496258526
ere,0.004260529388026349
ate,0.00417396306396312
his,0.003847771266258972
con,0.0038457334797442357
res,0.003573184647616686
ver,0.0035344147530712924
all,0.003487865329233411
ons,0.0034256709118303938
nce,0.003306040052495288
men,0.0032834936262117636
ith,0.0032386318470497876
ted,0.0031507985665998207
ers,0.003109662736711056
pro,0.003069933140675932
thi,0.0030300704150552876
wit,0.00298843478895766
are,0.002883976286516211
ess,0.0028414399369338103
not,0.002798514498286043
ive,0.0027351500721865206
was,0.00272793719224888
ect,0.0026848853038014355
rea,0.0026760307026559784
com,0.002627454076058224
eve,0.002558294213427554
per,0.0025453259837763067
int,0.0025127839821990866
est,0.002427420017204396
sta,0.002384850633304711
cti,0.002366544281037103
ica,0.002312108333132265
ist,0.002238569379251604
ear,0.002176118984733914
ain,0.0021485549182798393
one,0.002109081780265839
our,0.0020999773055617207
iti,0.002099700786735309
rat,0.002069992875067619
nte,0.002061873099456361
tin,0.0020564695039765562
ine,0.0020444356579253538
der,0.0020351623316757377
ome,0.0020090417352471705
man,0.0019876494987452666
pre,0.0019853317374549824
rom,0.001964095682591545
tra,0.001955743584838939
whi,0.0019333337698273828
ave,0.0019310476425539326
str,0.0019087088234424484
act,0.0019047074715796036
ill,0.0019041408727461478
ure,0.0018799999918293184
ide,0.0018668283044327555
ove,0.0018664884041378542
cal,0.0018647756060050935
ble,0.0018467350572627683
out,0.00184080406421285
sti,0.0018294330712077486
tic,0.0018243583637893887
oun,0.0018220923483192343
enc,0.0018131912045803362
ore,0.0018099352796413794
ant,0.00178997860227769
ity,0.0017826970089583078
fro,0.0017797088340480507
art,0.0017761563309072457
tur,0.0017712115959640652
par,0.001759397405006881
red,0.0017500977733173636
oth,0.0017457187511768233
eri,0.0017324949271342734
hic,0.0017243366637551708
ies,0.0017188650312130044
ste,0.0017122776142023386
ght,0.001710583569038094
ich,0.0017050630975622661
igh,0.0016936479388522
und,0.0016877620189858224
you,0.0016809748704207594
ort,0.0016801289302356152
era,0.0016525042919696713
wer,0.0016466167272983748
nti,0.0016456568918792954
oul,0.0016176358694497254
nde,0.0016070852523291455
ind,0.0016062173153208693
tho,0.0016059631750877262
hou,0.0015931274096648072
nal,0.0015862643241122782
but,0.0015671454277290358
hav,0.001558198604549901
uld,0.0015538007593781603
use,0.0015486054926683805
han,0.0015426076564814333
hin,0.0015217352140802494
een,0.0015013905858123485
ces,0.0014996332759507542
cou,0.0014926759403596414
lat,0.001491300362504958
tor,0.0014859040278069953
ese,0.0014694410991124784
age,0.0014676802899296101
ame,0.001460101753796452
rin,0.0014593726614869336
anc,0.0014589972389345346
ten,0.0014519070592514248
hen,0.0014432554387577674
min,0.001436657735401183
eas,0.001419800276582778
can,0.0014035853402400214
lit,0.0014032783527250946
cha,0.0014002503221564923
ous,0.0013933133252383193
eat,0.001392158257528371
end,0.00136987283142502
ssi,0.0013609698846443923
ial,0.001356873467251449
les,0.0013539632530440117
ren,0.0013507808071791714
tiv,0.0013459488312152384
nts,0.0013440185813883847
whe,0.0013440182968480958
tat,0.0013424104135336555
abl,0.0013411721022991766
dis,0.0013219851149958628
ran,0.0013138577854833694
wor,0.0013016067832405517
rou,0.0012988379016720861
lin,0.0012954115270911682
had,0.0012947835214130359
sed,0.0012926901813857616
ont,0.0012914855521909325
ple,0.0012912991001365808
ugh,0.0012877076931413782
inc,0.0012727443394306588
sio,0.0012710775619958346
din,0.0012698002063049729
ral,0.0012588243911461254
ust,0.0012517185002635506
tan,0.0012322197535569153
nat,0.0012315524755995223
ins,0.0012297259862248592
ass,0.0012213727646096047
pla,0.00122078972344636
ven,0.0012207047335975108
ell,0.0012202829147730588
she,0.001209316980835766
ose,0.0012087085169271178
ite,0.001207903457126652
lly,0.0012047718534163006
rec,0.001203974226456378
lan,0.0011940499215940877
ard,0.0011857237027092576
hey,0.001183002999960048
rie,0.0011818505183733947
pos,0.0011744848898688125
eme,0.0011704915437400236
mor,0.0011665426702574826
den,0.00115795356045324
oug,0.001157226882208316
tte,0.0011541078869214162
ned,0.001147298784428742
rit,0.0011407017940910388
ime,0.0011325521121992065
sin,0.001118566202042291
ast,0.0011153523323486692
any,0.0011088061293545114
orm,0.001107949130704072
ndi,0.0011079384173094116
ona,0.0011067885118370984
spe,0.0011051021707084124
ene,0.0011035681348929517
hei,0.001102622235752005
ric,0.001100171800998574
ice,0.001093741036523871
ord,0.0010898872438231692
omp,0.0010880533020666701
nes,0.0010877767546432447
sen,0.0010863562975880984
tim,0.0010861297000923265
tri,0.001084259256153985
ern,0.00108073814014246
tes,0.0010743836243626752
por,0.001074221695677638
app,0.0010726930127465725
lar,0.0010518795488269636
ntr,0.0010505629823404211
eir,0.001050479009115418
sho,0.0010487924949747977
son,0.0010343459736673868
cat,0.0010326253876144931
lle,0.001032172549609007
ner,0.0010318584962485495
hes,0.0010309904672532117
who,0.0010296384290305628
mat,0.001028291355726153
ase,0.0010268398894989273
kin,0.0010255804731915347
ost,0.001024752962828649
ber,0.001019989454788754
its,0.0010196793273216953
nin,0.0010194943918623168
lea,0.0010158587443332963
ina,0.001008283296201028
mpl,0.001007712187618472
sto,0.001007376157929409
ari,0.0010001524759463646
pri,0.0009982236793244367
own,0.0009981701581063575
ali,0.000997085672593012
ree,0.0009907936818011492
ish,0.000988618987558733
des,0.0009845548828850883
ead,0.0009819294711057706
nst,0.0009792569962673576
sit,0.0009781598866022033
ses,0.0009762101641153157
ans,0.0009656431275425582
has,0.0009616284327896202
gre,0.0009540542648503432
ong,0.0009539233725045485
als,0.000953392359795255
fic,0.0009522231484788225
ual,0.0009514822103328913
ien,0.0009509087768131009
gen,0.0009492787227103604
ser,0.0009470653500533399
unt,0.0009449160127831951
eco,0.0009445087493622279
nta,0.0009430893828065468
ace,0.0009427365514185531
chi,0.0009414085275383706
fer,0.0009413775955782293
tal,0.0009402695361164324
low,0.0009389883269779406
ach,0.0009373917132700819
ire,0.0009364893854928267
ang,0.0009355893578687269
sse,0.0009345630872966842
gra,0.000933759392050401
mon,0.0009320648202244827
ffe,0.0009305239316112452
rac,0.000927831163855115
sel,0.0009268931236502192
uni,0.000926084884338419
ake,0.0009260725890522702
ary,0.0009214743221848619
wil,0.0009208414149785381
led,0.0009205904695084705
ded,0.0009187402875077479
som,0.0009111787799431644
owe,0.0009066313275864649
har,0.0009064161636534881
ini,0.0009015900491241814
ope,0.0008999066220312172
nge,0.0008984504139424614
uch,0.0008978231718046015
rel,0.0008965855183014435
che,0.0008958242505382936
ade,0.0008952129664874529
att,0.0008940139027481558
cia,0.0008929741348621445
exp,0.0008907726342554664
mer,0.0008894873505191032
lic,0.0008848166126223202
hem,0.0008759326757067173
ery,0.0008748758749625792
nsi,0.0008689466577872274
ond,0.0008681879008419025
rti,0.0008679387517409279
duc,0.0008670470305961475
how,0.0008654074942001973
ert,0.0008624595843622018
see,0.0008587337966621194
now,0.0008537303310781511
imp,0.0008519804898033674
abo,0.0008517415126602557
pec,0.0008503927340205805
cen,0.0008502018813623983
ris,0.0008493675901708875
mar,0.000846454620164539
ens,0.0008440867759704864
tai,0.0008412417114802351
ely,0.0008347032697156642
omm,0.0008329648901240724
sur,0.0008269888300866331
hea,0.0008196958632581852
ula,0.0008165666021198932
ult,0.0008161695502159914
ili,0.0008085811929150082
bee,0.0008049071581843089
ork,0.0008021880211216133
lis,0.0008017150927605919
nit,0.0008006521727320849
ori,0.000800493984059856
thr,0.000797465464958932
ath,0.0007894810633221718
vel,0.000788597784492527
tie,0.0007828619789314892
ani,0.0007747887297086977
cul,0.0007737115669373918
hil,0.0007735693811541705
tem,0.0007733381490356708
ria,0.0007718375316907147
tre,0.0007704577662799546
ivi,0.0007656441162357961
ves,0.0007653810222775845
pen,0.000764321514349459
cre,0.0007640877213683599
oll,0.000761619547887174
ele,0.0007599590470202955
lon,0.0007564771151139049
war,0.0007549261107835987
equ,0.0007546072702830056
tro,0.0007543283631293124
eal,0.0007513331952959102
rep,0.0007504683291303155
eli,0.0007500002779900236
ian,0.0007478874095385384
sid,0.0007478032566289642
ise,0.0007474995000999971
erv,0.0007418630739286124
tru,0.0007383569603872239
ile,0.000738213368107533
que,0.0007343877401292558
him,0.0007326787067933819
med,0.0007309076889531496
wou,0.000729679588759119
fin,0.0007248693817954403
uct,0.0007228344897751324
old,0.0007176912615282585
ood,0.0007152637072456905
cor,0.0007127408553205942
new,0.0007125083096459203
eac,0.0007059467395696985
erm,0.0007030459947868146
fac,0.0007019822325762468
bou,0.0007011645200269578
ack,0.0006980622268260567
suc,0.0006976236086857583
edi,0.0006919287840755649
nto,0.0006909180559806052
car,0.0006902160436134489
oli,0.0006879324891180206
nly,0.0006863874548909939
mil,0.0006858921226760086
eed,0.0006851880184372816
way,0.0006820517891599233
rop,0.0006808042911347122
ita,0.0006803505399312472
eth,0.0006742670423422399
eci,0.0006739800779798656
uti,0.000673974756075569
may,0.0006732055960131853
ici,0.0006727302545408032
wha,0.0006710131077554541
rma,0.0006685910183622524
ara,0.0006638772853316091
qui,0.000659825117528205
rem,0.0006578596113960833
mbe,0.0006559989361977079
fte,0.0006536765255095719
rst,0.0006505761082727861
