word,frequency
a,0.025531481154704282
aa,8.92563639833102e-06
aaa,9.408102634983132e-06
aaaa,6.030814838786019e-08
aaaaahh,6.030814838786019e-08
aaaaeeee,6.030814838786019e-08
aaaahhhhh,6.030814838786019e-08
aaaahs,6.030814838786019e-08
aaack,6.030814838786019e-08
aaarrrggh,6.030814838786019e-08
aachen,1.80925494712812e-07
aaf,2.412336431006722e-07
aag,1.2061629677572038e-07
aagaard,5.427754345892046e-07
aage,6.030814838786019e-08
aahed,6.030814838786019e-08
aahs,6.030814838786019e-08
aal,3.0154179148853236e-07
aamiry,4.824672862013444e-07
aan,6.030814838786019e-08
aar,6.030814838786019e-08
aardvarks,6.030814838786019e-08
aarhus,1.2061629677572038e-07
aarnio,9.649335228534574e-07
aarnios,1.2061629677572038e-07
aarnout,6.030814838786019e-08
aaron,1.3569379567434727e-05
aarons,3.618499398763926e-07
aaronsons,6.030814838786019e-08
aarp,3.618501497862389e-06
aarps,4.824672862013444e-07
aas,1.2061629677572038e-07
aase,6.030814838786019e-08
aask,1.2061629677572038e-07
aasks,6.030814838786019e-08
aasrp,6.030814838786019e-08
aassociation,6.030814838786019e-08
aat,6.030814838786019e-08
aattorneys,6.030814838786019e-08
aau,1.2061629677572038e-07
aavo,6.030814838786019e-08
aay,6.030814838786019e-08
ab,1.8092507489311944e-06
aba,1.38709161111771e-06
ababa,1.80925494712812e-07
abacha,2.1107925404197267e-06
abachas,5.427754345892046e-07
aback,2.1107925404197267e-06
abacterium,6.030814838786019e-08
abadan,6.030814838786019e-08
abadani,6.030814838786019e-08
abades,1.2061629677572038e-07
abady,6.63391731364925e-07
abadys,6.030814838786019e-08
abaja,1.80925494712812e-07
abalone,1.2061629677572038e-07
abandando,1.2061629677572038e-07
abandon,1.5861096553018032e-05
abandonados,6.030814838786019e-08
abandoned,3.7994262578907384e-05
abandoning,6.573610214810622e-06
abandonment,4.0406595861266414e-06
abandonments,1.2061629677572038e-07
abandons,1.507708957442662e-06
abaray,4.221580882642528e-07
abaroa,6.030814838786019e-08
abas,5.427754345892046e-07
abasement,6.030814838786019e-08
abashed,6.030814838786019e-08
abashment,6.030814838786019e-08
abassi,2.412336431006722e-07
abate,1.6886334026062425e-06
abated,1.1458590175662693e-06
abatement,2.050484392031867e-06
abatements,1.1458590175662693e-06
abates,1.2061629677572038e-07
abating,6.030835829770647e-07
abattoir,6.030814838786019e-08
abattoirs,6.030814838786019e-08
abb,1.2061629677572038e-07
abba,3.618499398763926e-07
abbado,1.2061629677572038e-07
abbados,6.030814838786019e-08
abbas,7.236998797527852e-07
abbasi,1.2061629677572038e-07
abbass,6.030814838786019e-08
abbate,6.030814838786019e-08
abbatiello,1.80925494712812e-07
abbaye,1.2061629677572038e-07
abbekas,6.030814838786019e-08
abben,6.030814838786019e-08
abbenhaus,6.030814838786019e-08
abberational,6.030814838786019e-08
abbeville,1.80925494712812e-07
abbevilles,6.030814838786019e-08
abbey,4.2818932292273135e-06
abbeys,1.0252416712413176e-06
abbiategrasso,2.412336431006722e-07
abbie,4.221580882642528e-07
abbingdon,6.030814838786019e-08
abbot,1.2061629677572038e-07
abbott,1.3810613210535397e-05
abbotts,1.0855508691784093e-06
abboud,3.0154179148853236e-07
abbouds,1.80925494712812e-07
abbreviated,1.7489426005433342e-06
abbreviation,2.412336431006722e-07
abbreviations,2.412336431006722e-07
abbruzzese,6.63391731364925e-07
abbruzzeses,1.80925494712812e-07
abby,9.046253744655972e-07
abc,5.150333399795425e-05
abcd,6.030814838786019e-08
abcs,1.007149541589729e-05
abctvs,6.030814838786019e-08
abdallah,3.0154179148853236e-07
abdel,3.618501497862389e-06
abdelazim,6.030814838786019e-08
abdelaziz,6.030814838786019e-08
abdelhadi,2.412336431006722e-07
abdelkader,6.030814838786019e-08
abdelrahman,6.030814838786019e-08
abdelshafi,1.2061629677572038e-07
abderahmane,6.030814838786019e-08
abdi,6.030814838786019e-08
abdiass,1.2061629677572038e-07
abdic,2.7741842717846518e-06
abdicate,7.236998797527852e-07
abdicated,8.44317226077737e-07
abdicates,1.2061629677572038e-07
abdicating,1.2061629677572038e-07
abdication,4.824672862013444e-07
abdics,6.63391731364925e-07
abdo,6.030814838786019e-08
abdomen,2.352026183520399e-06
abdominal,2.472642480296119e-06
abdominals,3.618499398763926e-07
abdou,3.0154179148853236e-07
abdoujaparov,3.618499398763926e-07
abdu,6.030814838786019e-08
abduct,4.824672862013444e-07
abducted,3.3772678547617167e-06
abductee,6.030814838786019e-08
abducting,2.412336431006722e-07
abduction,5.0659012573679594e-06
abductions,5.427754345892046e-07
abductor,6.63391731364925e-07
abductors,9.046253744655972e-07
abdul,2.5932587770718395e-06
abdulah,4.824672862013444e-07
abdulaziz,1.80925494712812e-07
abdulla,6.030814838786019e-08
abdullah,2.171100688807587e-06
abdullahs,1.2061629677572038e-07
abdulrazak,6.030814838786019e-08
abdur,6.030814838786019e-08
abdus,1.2061629677572038e-07
abduvaliyev,6.030814838786019e-08
abe,2.472642480296119e-06
abed,1.2061629677572038e-07
abedi,1.2061629677572038e-07
abel,1.507708957442662e-06
abele,1.80925494712812e-07
abels,4.824672862013444e-07
abelson,4.824672862013444e-07
abendblatt,3.0154179148853236e-07
abequa,1.4956471178552435e-05
abequas,4.161275882902362e-06
aber,6.030814838786019e-08
abercrombie,3.618499398763926e-07
aberdeen,1.2664753143419899e-06
abernathy,7.236998797527852e-07
abernethy,6.63391731364925e-07
aberrant,3.618499398763926e-07
aberration,1.990175194094775e-06
aberrational,1.2061629677572038e-07
aberrations,5.427754345892046e-07
abes,2.412336431006722e-07
abestos,6.030814838786019e-08
abets,6.030814838786019e-08
abetted,1.2061671659541295e-06
abetting,1.32678346272985e-06
abeyance,3.0154179148853236e-07
abfab,2.412336431006722e-07
abhold,1.2061629677572038e-07
abhor,6.030835829770647e-07
abhoring,1.2061629677572038e-07
abhorred,4.221580882642528e-07
abhorrence,1.2061629677572038e-07
abhorrent,7.840090776898768e-07
abhors,1.0252416712413176e-06
abi,1.2061629677572038e-07
abid,6.030814838786019e-08
abide,4.523126872327986e-06
abided,2.412336431006722e-07
abides,1.2061629677572038e-07
abiding,4.161275882902362e-06
abidjan,7.840090776898768e-07
abidjans,1.2061629677572038e-07
abiel,4.824672862013444e-07
abiels,3.618499398763926e-07
abigail,4.824672862013444e-07
abilene,9.649335228534574e-07
abilez,6.030814838786019e-08
abilio,6.030814838786019e-08
abilities,9.106561893043831e-06
ability,0.000100172175575736
abimael,1.80925494712812e-07
abinanti,6.030814838786019e-08
abingdon,1.2061629677572038e-07
abiola,3.075726063273184e-06
abiolas,9.649335228534574e-07
abioseh,6.030814838786019e-08
abitante,6.030814838786019e-08
abject,1.2061671659541295e-06
abjectly,6.030814838786019e-08
abjulkhalim,1.2061629677572038e-07
abkhazia,1.80925494712812e-07
ablation,3.0154179148853236e-07
ablaze,1.0855508691784093e-06
able,0.0002198239481528032
abled,6.030814838786019e-08
abler,6.030814838786019e-08
ables,2.412336431006722e-07
ablest,6.030814838786019e-08
ably,6.63391731364925e-07
abm,6.030835829770647e-07
abn,9.046253744655972e-07
abner,2.2917169855833072e-06
abney,6.030814838786019e-08
abnormal,4.221585080839453e-06
abnormalities,7.840090776898768e-07
abnormality,2.412336431006722e-07
abnormally,7.236998797527852e-07
abns,2.412336431006722e-07
abo,2.412336431006722e-07
aboard,3.950197153635005e-05
abobrinha,6.030814838786019e-08
abode,1.80925494712812e-07
abodes,1.2061629677572038e-07
aboiling,4.824672862013444e-07
abolhassan,6.030814838786019e-08
abolish,2.2314088371954475e-06
abolished,1.5680171058305221e-06
abolishing,1.32678346272985e-06
abolishment,6.030814838786019e-08
abolition,6.63391731364925e-07
abolitionist,1.2061629677572038e-07
abolitionists,1.2061629677572038e-07
abolitionize,6.030814838786019e-08
abominable,4.824672862013444e-07
abomination,7.840090776898768e-07
abominations,1.2061629677572038e-07
aboreal,6.030814838786019e-08
aborgines,6.030814838786019e-08
aboriginal,7.236998797527852e-07
aboriginals,6.030814838786019e-08
aborigine,1.2061629677572038e-07
aborigines,5.427754345892046e-07
aborion,6.030814838786019e-08
aborn,2.412336431006722e-07
aborning,2.412336431006722e-07
abort,3.1360342116610442e-06
aborted,3.4375760031495765e-06
aborting,3.0154179148853236e-07
abortion,0.0001239939750042316
abortionist,5.427754345892046e-07
abortionists,6.63391731364925e-07
abortions,1.387092135892326e-05
abortive,7.840090776898768e-07
aborts,2.412336431006722e-07
abosorb,6.030814838786019e-08
abou,6.030814838786019e-08
aboudi,6.030814838786019e-08
